,title,author,main_genre,sub_genre,type,price,rating,num_of_people_rated,autor_api,year_public,isbn,price_euro
0,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹169.00,4.4,19923.0,Arthur Conan Doyle,2017.0,8175994312,1.8928
2,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹175.75,4.6,50016.0,Khaled Hosseini,2016.0,0756948800,1.9684
5,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹313.95,4.5,15122.0,J. K. Rowling,2016.0,0606396683,3.51624
9,Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹644.52,4.5,3216.0,J. K. Rowling,2016.0,0606396683,7.218624
10,One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,₹892.00,4.2,10550.0,Arnold Bennett,1925.0,9780341688341,9.9904
13,The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹479.00,4.6,2871.0,John Truby,2008.0,0865479933,5.3648
15,"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹2,612.00",4.7,2653.0,Desconocido,,,29.2544
17,BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹424.00,4.7,915.0,Bruce Lee,1999.0,9780809228560,4.7488
18,JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹438.00,4.6,389.0,Gavin Thurston,2019.0,1841883107,4.9056
25,Hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,463.00",4.7,787.0,Robert Arthur,1967.0,9780394864013,16.3856
26,Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,₹176.32,4.2,22.0,Ashish Rajadhyaksha,2016.0,9780191034770,1.9747839999999999
32,On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,₹608.00,4.4,848.0,David Mamet,1991.0,0140127224,6.8096
34,ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,"₹4,079.00",4.9,1903.0,Frank Thomas Bullen,1995.0,0786860707,45.6848
40,Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,"₹1,093.00",4.6,22078.0,Robert A. Heinlein,1985.0,9780345324412,12.2416
47,The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹1,795.00",4.7,2048.0,Kip S. Thorne,2014.0,0393351378,20.104
49,"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,"₹2,435.00",4.8,6242.0,Richard Williams,2009.0,0571202284,27.272
51,THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,₹519.00,4.5,10871.0,Julia Cameron,1992.0,9789877352306,5.8128
53,Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹279.00,4.2,70056.0,Taylor Jenkins Reid,2022.0,9781804224748,3.1248
55,Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹599.00,4.5,878.0,Trinity College London Press,2020.0,9780857369789,6.7088
56,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,₹765.00,4.6,317.0,Trinity College London Press,2020.0,9780857369284,8.568
67,Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,₹232.00,4.4,84.0,Jaun Eliyā,2006.0,,2.5984
69,Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,₹580.00,4.8,769.0,"Willard A Palmer, Morton Manus, Amanda Vick Lethco",1988.0,,6.4959999999999996
71,Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,₹451.00,4.7,9115.0,Hal Leonard Corp.,1986.0,9780881884999,5.0512
75,Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,₹760.00,4.5,9371.0,Patti Smith,2013.0,9780066211312,8.512
76,Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,₹334.00,4.3,82376.0,Desconocido,,0385692196,3.7408
82,"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,"₹1,121.00",4.7,4243.0,Willard A. Palmer,2011.0,9780739082416,12.5552
84,Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,₹500.00,4.5,15.0,Sanchita Pandey,2022.0,1636406882,5.6
88,Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts, Film & Photography",Music,Sheet music,"₹1,142.00",4.5,161.0,Trinity College London Press,2020.0,9780857369284,12.7904
90,"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,₹772.00,4.8,6322.0,Nancy Faber,1996.0,9781616777579,8.6464
105,Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Hardcover,₹469.00,4.5,367.0,William Shakespeare,2020.0,8194898838,5.2528
114,The Science of Storytelling,Will Storr,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,"₹1,172.00",4.5,1707.0,Will Storr,2019.0,9781690585107,13.1264
115,Four Great Comedies,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Mass Market Paperback,₹265.69,4.6,89.0,Desconocido,1989.0,9993375802,2.975728
118,Stella Adler: The Art of Acting,Howard Kissel,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,₹668.00,4.7,869.0,Howard Kissel,2000.0,1458411176,7.4816
121,BEFORE & LAUGHTER,Jimmy Carr,"Arts, Film & Photography",Theater & Ballet,Paperback,₹682.00,4.4,3198.0,Jimmy Carr,2022.0,9781529413083,7.6384
123,BUILDING A CHARACTER,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,₹371.00,4.7,456.0,Konstantin Stanislavsky,1992.0,9781569562031,4.1552
126,An Actor Prepares,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,₹568.00,4.5,1521.0,K. S. Stanislavskiĭ,1953.0,9780713801071,6.3616
127,Gulmohar,Kale V.P.,"Arts, Film & Photography",Theater & Ballet,Paperback,₹110.00,4.4,122.0,Aamer Hussein,2009.0,9780143067399,1.232
130,James Acaster's Guide to Quitting Social Media,James Acaster,"Arts, Film & Photography",Theater & Ballet,Hardcover,"₹1,280.00",4.0,338.0,James Acaster,2022.0,1472288572,14.336
133,Drama Games for Those Who Like to Say No,Chris Johnston,"Arts, Film & Photography",Theater & Ballet,Paperback,₹930.30,4.5,71.0,Chris Johnston,2014.0,1780012373,10.41936
138,William Shakespeare: The Complete Works (Illustrated),William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,₹86.29,4.6,1059.0,William Shakespeare,1975.0,,0.9664480000000001
139,Sanford Meisner on Acting,Dennis Longwell,"Arts, Film & Photography",Theater & Ballet,Paperback,₹622.00,4.6,1693.0,Sanford Meisner,1987.0,0394750594,6.9664
142,Will,Will Smith,"Arts, Film & Photography",Theater & Ballet,Paperback,₹473.00,4.6,22078.0,Robert A. Heinlein,1985.0,9780345324412,5.2976
143,101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,₹199.00,3.6,562.0,Adam Kisiel,2020.0,9781656470997,2.2288
153,THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Theory & Criticism,Paperback,₹519.00,4.5,10871.0,Julia Cameron,1992.0,9789877352306,5.8128
169,Watercolour Demonstrations,Milind Mulick,"Arts, Film & Photography",Theory & Criticism,Paperback,₹180.00,4.6,149.0,Percy V Bradshaw; Ernest W Haslehurst,1951.0,,2.016
182,Seneca's Letters from a Stoic,Lucius Annaeus Seneca,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,₹77.00,4.5,4513.0,Seneca,2016.0,0486811247,0.8623999999999999
186,Ways of Seeing,John Berger,"Arts, Film & Photography",Theory & Criticism,Mass Market Paperback,₹370.00,4.3,2784.0,John Berger,1977.0,0140135154,4.144
187,"Vincent van Gogh: 1853-1890, Vision and Reality",Ingo F. Walther,"Arts, Film & Photography",Theory & Criticism,Hardcover,"₹1,371.00",4.8,847.0,Vincent van Gogh,1996.0,9783822896303,15.3552
190,Lunch with the FT,Lionel Barber,"Arts, Film & Photography",Theory & Criticism,Paperback,₹689.00,4.4,107.0,Lionel Barber,2013.0,9780241400685,7.7168
205,Make You Bed,William H. McRaven,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Hardcover,₹209.00,4.5,20651.0,Tamicka Higgins,2016.0,1539572684,2.3407999999999998
207,AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹199.00,4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,2.2288
208,The Diary of A Young Girl,Anne Frank,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹119.00,4.5,34935.0,Anne Frank,2020.0,9789352782772,1.3328
212,Autobiography of A Yogi (Hindi),Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹179.00,4.6,4553.0,Paramhansa Yogananda,2010.0,9789380676371,2.0048
215,TWELFTH FAIL,Anurag Pathak,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹137.00,4.7,1036.0,Anurag Pathak,2019.0,9788194170105,1.5344
217,Why I Killed Gandhi?,Nathuram Godse,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹159.00,4.1,8010.0,Nathuram Vinayak Godse,2020.0,9783956763182,1.7808
218,Shoe Dog,Phil Knight,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,9781471146718,3.5952
219,"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹99.00,4.5,5111.0,Nikola Tesla,2013.0,1940177383,1.1088
220,Autobiography of a Yogi,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Audible Audiobook,"₹1,126.00",4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,12.6112
224,Chanakya Neeti,Acharya Chanakya,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Audible Audiobook,₹225.00,4.4,5634.0,R.P. Jain,2015.0,8184302118,2.52
228,Autobiography of A Yogi,Paramahansa Yogananda,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹159.00,4.6,11173.0,Yogananda Paramahansa,1946.0,9780554224664,1.7808
231,The Story of My Experiments With Truth,Mahatma Gandhi,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,Paperback,₹149.00,4.5,12116.0,Mohandas Karamchand Gandhi,1929.0,,1.6688
